Team,Year,Round of 64,64WL,64PD,Round of 32,32WL,32PD,Sweet 16,16WL,16PD,Elite 8,8WL,8PD,Final 4,4WL,4PD,Championship,2WL
North Carolina,2013,Villanova,1,7,Kansas,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Villanova,2013,North Carolina,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Louisville,2013,North Carolina A&T,1,31,Colorado St.,1,6,Oregon,1,8,Duke,1,22,Wichita St.,1,4,Michigan,1
North Carolina A&T,2013,Louisville,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colorado St.,2013,Missouri,1,12,Louisville,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Missouri,2013,Colorado St.,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oklahoma St.,2013,Oregon,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oregon,2013,Oklahoma St.,1,11,Saint Louis,1,17,Louisville,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saint Louis,2013,New Mexico St.,1,20,Oregon,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Mexico St.,2013,Saint Louis,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Memphis,2013,Saint Mary's,1,2,Michigan St.,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saint Mary's,2013,Memphis,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michigan St.,2013,Valparaiso,0,11,Memphis,1,22,Duke,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Valparaiso,2013,Michigan St.,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Creighton,2013,Cincinnati,1,4,Duke,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cincinnati,2013,Creighton,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Duke,2013,Albany,1,12,Creighton,1,16,Michigan St.,1,10,Louisville,0,NA,NA,NA,NA,NA,
Albany,2013,Duke,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gonzaga,2013,Southern,1,6,Wichita St.,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Southern,2013,Gonzaga,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pittsburghsburgh,2013,Wichita St.,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wichita St.,2013,Pittsburghsburgh,1,18,Gonzaga,1,6,La Salle,1,2,Ohio St.,1,4,Louisville,0,NA,NA,NA
Wisconsin,2013,Mississippi,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mississippi,2013,Wisconsin,1,11,La Salle,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kansas St.,2013,La Salle,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
La Salle,2013,Kansas St.,1,2,Mississippi,1,2,Wichita St.,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arizona,2013,Belmont,1,17,Harvard,1,23,Ohio St.,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belmont,2013,Arizona,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Mexico,2013,Harvard,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harvard,2013,New Mexico,1,6,Arizona,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Notre Dame,2013,Iowa St.,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iowa St.,2013,Notre Dame,1,18,Ohio St.,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ohio St.,2013,Iona,1,25,Iowa St.,1,3,Arizona,1,3,Wichita St.,0,NA,NA,NA,NA,NA,NA
Iona,2013,Ohio St.,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kansas,2013,Western Kentucky,1,7,North Carolina,1,12,Michigan,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Western Kentucky,2013,Kansas,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VCU,2013,Akron,1,46,Michigan,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Akron,2013,VCU,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michigan,2013,South Dakota St.,1,15,VCU,1,25,Kansas,1,2,Florida,1,20,Syracuse,1,5,Louisville,0
South Dakota St.,2013,Michigan,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UCLA,2013,Minnesota,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Minnesota,2013,UCLA,1,20,Florida,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florida,2013,Northwestern St.,1,32,Minnesota,1,14,Michigan,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern St.,2013,Florida,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
San Diego St.,2013,Oklahoma,1,15,Florida Gulf Coast,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oklahoma,2013,San Diego St.,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Georgetown,2013,Florida Gulf Coast,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florida Gulf Coast,2013,Georgetown,1,10,San Diego St.,1,10,Florida,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indiana,2013,James Madison,1,21,Temple,1,6,Syracuse,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
James Madison,2013,Indiana,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Carolina St.,2013,Temple,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Temple,2013,North Carolina St.,1,4,Indiana,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UNLV,2013,California,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
California,2013,UNLV,1,3,Syracuse,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syracuse,2013,Montana,1,47,California,1,6,Indiana,1,11,Marquette,1,16,Michigan,0,NA,NA,NA
Montana,2013,Syracuse,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Butler,2013,Bucknell,1,12,Marquette,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bucknell,2013,Butler,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marquette,2013,Davidson,1,1,Butler,1,2,Miami FL,1,10,Syracuse,0,NA,NA,NA,NA,NA,NA
Davidson,2013,Marquette,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Illinois,2013,Colorado,1,8,Miami FL,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colorado,2013,Illinois,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Miami FL,2013,Pacific,1,29,Illinois,1,4,Marquette,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pacific,2013,Miami FL,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florida,2014,Albany,1,12,Pittsburgh,1,16,UCLA,1,11,Dayton,1,10,Connecticut,0,NA,NA,NA
Albany,2014,Florida,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colorado,2014,Pittsburgh,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pittsburgh,2014,Colorado,1,29,Florida,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VCU,2014,SF Austin,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SF Austin,2014,VCU,1,2,UCLA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UCLA,2014,Tulsa,1,17,SF Austin,1,17,Florida,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tulsa,2014,UCLA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ohio St.,2014,Dayton,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dayton,2014,Ohio St.,1,1,Syracuse,1,2,Stanford,1,10,Florida,0,NA,NA,NA,NA,NA,NA
Syracuse,2014,Western Michigan,1,24,Dayton,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Western Michigan,2014,Syracuse,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Mexico,2014,Stanford,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stanford,2014,New Mexico,1,5,Kansas,1,3,Dayton,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kansas,2014,E Kentucky,1,11,Stanford,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eastern Kentucky,2014,Kansas,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Virginia,2014,Coastal Carolina,1,11,Memphis,1,18,Michigan St.,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coastal Carolina,2014,Virginia,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Memphis,2014,George Washington,1,5,Virginia,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
George Washington,2014,Memphis,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cincinnati,2014,Harvard,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harvard,2014,Cincinnati,1,4,Michigan St.,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michigan St.,2014,Delaware,1,15,Harvard,1,7,Virginia,1,2,Connecticut,0,NA,NA,NA,NA,NA,NA
Delaware,2014,Michigan St.,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Carolina,2014,Providence,1,2,Iowa St.,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Providence,2014,North Carolina,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iowa St.,2014,North Carolina Central,1,18,North Carolina,2,Connecticut,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Carolina Central,2014,Iowa St.,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Connecticut,2014,Saint Joseph's,1,8,Villanova,1,12,Iowa St.,1,5,Michigan St.,1,6,Florida,1,10,Kentucky,1
Saint Joseph's,2014,Connecticut,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Villanova,2014,Milwaukee,1,Connecticut,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Milwaukee,2014,Villanova,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arizona,2014,Weber St.,1,9,Gonzaga,1,23,San Diego St.,1,6,Wisconsin,0,NA,NA,NA,NA,NA,NA
Weber St.,2014,Arizona,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gonzaga,2014,Oklahoma St.,1,8,Arizona,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oklahoma St.,2014,Gonzaga,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oklahoma,2014,North Dakota St.,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Dakota St.,2014,Oklahoma,1,5,San Diego St.,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
San Diego St.,2014,New Mexico St.,1,4,North Dakota St.,1,19,Arizona,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Mexico St.,2014,San Diego St.,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baylor,2014,Nebraska,1,14,Creighton,1,30,Wisconsin,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nebraska,2014,Baylor,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Creighton,2014,Louisana,1,10,Baylor,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Louisiana,2014,Creighton,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oregon,2014,BYU,1,19,Wisconsin,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BYU,2014,Oregon,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wisconsin,2014,American,1,40,Oregon,1,8,Baylor,1,17,Arizona,1,1,Kentucky,0,NA,NA,NA
American,2014,Wisconsin,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wichita St.,2014,Cal Poly,1,27,Kentucky,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cal Poly,2014,Wichita St.,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kentucky,2014,Kansas St.,1,7,Wichita St.,1,2,Louisville,1,5,Michigan,1,3,Wisconsin,1,1,Connecticut,0
Kansas St.,2014,Kentucky,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saint Louis,2014,North Carolina St.,1,3,Louisville,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Carolina St.,2014,Saint Louis,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Louisville,2014,Manhattan,1,7,Saint Louis,1,15,Kentucky,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Manhattan,2014,Louisville,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Massachusetts,2014,Tennesse,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tennessee,2014,Massachusetts,1,19,Mercer,1,20,Michigan,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Duke,2014,Mercer,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mercer,2014,Duke,1,7,Tennessee,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Texas,2014,Arizona St.,1,2,Michigan,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arizona St.,2014,Texas,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michigan,2014,Wofford,1,14,Texas,1,14,Tennessee,1,2,Kentucky,0,NA,NA,NA,NA,NA,NA
Wofford,2014,Michigan,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kentucky,2015,Hampton,1,23,Cincinnati,1,13,West Virginia,1,39,Notre Dame,1,2,Wisconsin,0,NA,NA,NA
Hampton,2015,Kentucky,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cincinnati,2015,Purdue,1,1,Kentucky,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Purdue,2015,Cincinnati,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
West Virginia,2015,Buffalo,1,6,Maryland,1,10,Kentucky,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Buffalo,2015,West Virginia,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maryland,2015,Valparaiso,1,3,West Virginia,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Valparaiso,2015,Maryland,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Butler,2015,Texas,1,8,Notre Dame,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Texas,2015,Butler,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Notre Dame,2015,Northeastern,1,4,Butler,1,3,Wichita St.,1,11,Kentucky,0,NA,NA,NA,NA,NA,NA
Northeastern,2015,Notre Dame,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wichita St.,2015,Indiana,1,5,Kansas,1,13,Notre Dame,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indiana,2015,Wichita St.,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kansas,2015,New Mexico St.,1,19,Wichita St.,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Mexico St.,2015,Kansas,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wisconsin,2015,Coastal Carolina,1,14,Oregon,1,7,North Carolina,1,7,Arizona,1,7,Kentucky,1,7,Duke,0
Coastal Carolina,2015,Wisconsin,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oregon,2015,Oklahoma St.,1,6,Wisconsin,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oklahoma St.,2015,Oregon,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arkansas,2015,Wofford,1,3,North Carolina,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wofford,2015,Arkansas,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
