Team,Year,Conference,Games,Wins,Win_Percentage,O_Efficiency,D_Efficiency,Power_Rating,EFG_O,EFG_D,Turnover_Rate,Steal_Rate,Offensive_Rebound_Rate,Opp_Offensive_Rebound_Rate,Free_Throw_Rate,Opp_Free_Throw_Rate,2_Pt_Percentage,Opp_2_Pt_Percentage,3_Pt_Percentage,Opp_3_Pt_Percentage,Wins_Above_Bubble,Elimination_Round,Seed,Round.of.64,X64WL,X64PD,Round.of.32,X32WL,X32PD,Sweet.16,X16WL,X16PD,Elite.8,X8WL,X8PD,Final.4,X4WL,X4PD,Championship,X2WL
Louisville,2019,ACC,34,20,0.588235294,112.9,93.1,0.9023,50.9,46.7,17.5,16.1,29.1,25.9,34.9,32,50.6,46,34.2,32,2.3,R64,7,Minnesota,0,NA,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA 
Loyola Chicago,2018,MVC,37,32,0.864864865,110.5,95.4,0.8444,57.7,47.4,19.1,19.4,22.1,25.9,32.2,25.2,56.6,47.1,39.8,32,2,F4,11,Miami FL,1,2,Tennessee,1,1,Nevada,1,1,Kansas St.,1,16,Michigan,0,NA,NA,NA
LSU,2015,SEC,33,22,0.666666667,107.8,92.8,0.8477,50.3,44.6,20.2,19.1,33.9,32.9,33.5,29.4,50.1,43.9,33.9,30.9,0.5,R64,9,North Carolina St.,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LSU,2019,SEC,35,28,0.8,117.9,96.6,0.9081,51.2,49.9,17.9,20.1,36.7,30.8,37.1,33.1,52.9,49.4,31.9,33.7,7.3,S16,3,Yale,1,5,Maryland,1,2,Michigan St.,0,NA,NA,NA,NA ,NA ,NA ,NA ,NA ,NA 
Manhattan,2014,MAAC,33,25,0.757575758,106.2,96.4,0.7519,50.7,45.4,19.7,21.7,34.4,33.3,55.5,52.8,48.7,44,36.9,32.7,-0.5,R64,13,Louisville,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marquette,2013,BE,35,26,0.742857143,113,93.2,0.902,49.6,46.2,20.9,19.5,38.4,33.1,40.9,31.7,51.6,44.9,29.6,32.3,4.5,E8,3,Davidson,1,1,Butler,1,2,Miami FL,1,10,Syracuse,0,NA,NA,NA,NA,NA,NA
Marquette,2017,BE,32,19,0.59375,121.8,101.8,0.8881,57.5,52.2,17.3,18.3,27.1,29.2,31,35.7,52.7,50.6,42.9,36.8,0.6,R64,10,South Carolina,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marquette,2019,BE,34,24,0.705882353,111.7,95.9,0.8524,53.5,46.3,19.4,16.6,29.4,26.1,35.1,35.9,50,45.1,38.8,32.4,2.7,R64,5,Murray St.,0,NA,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA 
Marshall,2018,CUSA,35,25,0.714285714,108.8,102.5,0.6633,54.7,49.9,17.2,18.4,22.4,32.3,33.1,28.9,55.5,48.7,35.9,35,-2.5,R32,13,Wichita St.,1,6,West Virginia,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maryland,2015,B10,35,28,0.8,110.2,94,0.8619,51.2,45.5,18.9,17.2,28.9,30.5,44.5,28.1,48,44.1,37.6,31.8,6.9,R32,4,Valparaiso,1,3,West Virginia,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maryland,2016,B10,35,26,0.742857143,114.9,96.3,0.8839,55.2,46.5,18.9,16.4,29.1,29.9,37,27,55.8,45.5,36.2,32.1,4,S16,5,South Dakota St.,1,5,Hawaii,1,13,Kansas,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maryland,2017,B10,32,24,0.75,113.4,97.9,0.8448,52.4,47.5,19,18,30.4,32.3,38.5,32.6,51,45.6,36.3,34.2,3.7,R64,6,Xavier,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maryland,2019,B10,34,23,0.676470588,111.6,93.3,0.8875,51.4,45.9,19.4,14.1,34.1,24.8,32.8,26.6,50.8,44.7,34.9,31.9,4.2,R32,6,Belmont,1,2,LSU,0,NA ,NA ,NA ,NA ,NA ,NA ,NA,NA,NA,NA,NA,NA
Massachusetts,2014,A10,33,24,0.727272727,109,96.9,0.7952,50.4,46.6,18.8,18.7,34.3,31.7,39.2,37.2,49.9,46.8,34.6,30.8,3.6,R64,6,Tennesse,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Memphis,2013,CUSA,36,31,0.861111111,106.1,90.2,0.8672,52.4,45.5,20.7,22.1,35.6,31.1,37.2,34.9,51.1,43.8,37.2,33,4.5,R32,6,Saint Mary's,1,2,Michigan St.,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Memphis,2014,Amer,33,23,0.696969697,112.6,97,0.8479,51.9,48.4,18.6,20.3,35.8,33.3,39.5,33.8,52.7,49.2,33,31,2.8,R32,8,George Washington,1,5,Virginia,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mercer,2014,ASun,33,24,0.727272727,109.6,101.8,0.6993,54,46.8,17.5,19,32,31.1,37.3,41,51.6,46.9,38.8,31,-2.8,R32,14,Duke,1,7,Tennessee,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Miami FL,2013,ACC,36,29,0.805555556,112.4,90.8,0.9207,51.9,45.7,16.7,18.4,31.3,28.4,34.6,28.3,50.6,44,36.2,32.6,6.3,S16,2,Pacific,1,29,Illinois,1,4,Marquette,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Miami FL,2016,ACC,35,27,0.771428571,119.4,96.5,0.9203,54.2,48.3,16.5,17.4,30.1,29.5,40.7,29.1,53.2,46.9,37.5,34.4,6.9,S16,3,Buffalo,1,7,Wichita St.,1,8,Villanova,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Miami FL,2017,ACC,33,21,0.636363636,110.8,93.1,0.8804,51,47.6,19.5,18.3,33.4,28.2,34.3,28.7,49.8,46.6,35.6,33,2.9,R64,8,Michigan St.,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Miami FL,2018,ACC,32,22,0.6875,113.3,96.6,0.8623,53.1,49,16.8,18.8,29.1,28.2,29.1,28.1,52.2,48.8,36.4,32.8,2.7,R64,6,Loyola Chicago,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michigan St.,2013,B10,35,26,0.742857143,111.4,87.8,0.9392,50.6,44.5,20.8,19.2,36.1,27.6,36.6,32.4,50.4,44.3,34.1,30.1,6.7,S16,3,Valparaiso,1,11,Memphis,1,22,Duke,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michigan St.,2014,B10,38,29,0.763157895,119.6,95.3,0.9319,54.5,45.8,17.4,17.7,32.9,27.5,33.7,40.3,52.1,43.5,39.2,33.2,6.9,E8,4,Delaware,1,15,Harvard,1,7,Virginia,1,2,Connecticut,0,NA,NA,NA,NA,NA,NA
Michigan St.,2015,B10,39,27,0.692307692,116.3,92.6,0.9327,53.2,44.9,17.5,16.5,33.5,27,32.7,39,50.8,43.8,38.5,31.5,3,F4,7,Georgia,1,7,Virginia,1,6,Oklahoma,1,4,Louisville,1,6,Duke,0,NA,NA,NA
Michigan St.,2016,B10,35,29,0.828571429,122.5,96,0.9428,56.3,43.3,17.6,14.2,37.1,24.3,30,34.1,51.4,41.7,43.4,31,7.2,R64,2,Middle Tennessee,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michigan St.,2017,B10,35,20,0.571428571,111.6,94.9,0.8661,54,46.7,20.5,15.9,29.2,27.3,33.5,34.7,52.9,44.1,37.3,34.6,0.4,R32,9,Miami FL,1,20,Kansas,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michigan St.,2018,B10,35,30,0.857142857,118.9,94.3,0.9347,56.9,42.7,19.2,14.6,37,26.6,35.9,30.7,55.2,38.4,40.1,33.7,8,R32,3,Bucknell,1,4,Syracuse,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michigan St.,2019,B10,39,32,0.820512821,119.9,91,0.9597,55.2,43.9,18.5,14.9,33.9,26.4,33.6,27.5,54.3,41.9,37.8,31.6,10.7,F4,2,Bradley,1,11,Minnesota,1,20,LSU,1,17,Duke,1,1,Texas Tech,0,NA ,NA ,NA 
Michigan,2013,B10,38,30,0.789473684,121.5,93.7,0.9522,54.6,48,14.6,18.7,32.5,29.4,28.4,22.7,53.4,47.6,37.9,32.6,6.2,2ND,4,South Dakota St.,1,15,VCU,1,25,Kansas,1,2,Florida,1,20,Syracuse,1,5,Louisville,0
Michigan,2014,B10,37,28,0.756756757,125,99.9,0.9295,55.7,49.4,14.8,17.1,29.4,30.5,34.9,26.7,52.7,50.2,40.2,31.8,7.7,E8,2,Wofford,1,14,Texas,1,14,Tennessee,1,2,Kentucky,0,NA,NA,NA,NA,NA,NA
Michigan,2016,B10,35,22,0.628571429,113.4,99.4,0.82,54.5,51.4,14.5,17.9,24.8,26.4,27.8,27,52.6,51.1,38,34.7,0.8,R64,11,Notre Dame,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michigan,2017,B10,38,26,0.684210526,123.3,97.6,0.9366,57,51.9,14.2,19.5,24.7,30,30.1,27.2,56.3,50,38.5,37.8,3.8,S16,7,Oklahoma St.,1,1,Louisville,1,4,Oregon,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michigan,2018,B10,40,33,0.825,114.4,90.4,0.9375,53.9,47.7,14,19.5,25.5,24.9,30.7,30,54.7,46.8,35.2,33.2,6.9,2ND,3,Montana,1,14,Houston,1,1,Texas A&M,1,27,Florida St.,1,4,Loyola Chicago,1,12,Villanova,0
Michigan,2019,B10,37,30,0.810810811,114.6,85.6,0.9665,51.6,44.1,13.9,18,24.7,24.8,27.5,24.1,51.8,44.3,34.2,29.1,9.2,S16,2,Montana,1,19,Florida,1,15,Texas Tech,0,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA 
Middle Tennessee,2016,CUSA,33,23,0.696969697,103.9,99.5,0.6224,51.7,49.4,17.1,19.4,28.7,25.7,34.9,42.4,47.8,48,39.2,34.7,-3.2,R32,15,Michigan St.,1,9,Syracuse,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle Tennessee,2017,CUSA,35,31,0.885714286,111.2,96.6,0.8339,54.1,47.9,15.6,19.8,30.1,23.8,30,38.2,53.6,47.1,36.9,32.8,2,R32,12,Minnesota,1,9,Butler,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Milwaukee,2014,Horz,34,20,0.588235294,104.3,103.9,0.5123,49.1,49.1,19.9,18.5,28.6,31.2,44.7,36.5,49.1,50.4,32.7,31,-6.1,R64,15,Villanova,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Minnesota,2013,B10,34,21,0.617647059,112.6,92.5,0.905,49.3,45.6,21.6,20.2,43.6,33.2,41.6,36.7,48.8,42.8,33.7,33.9,2.1,R32,11,UCLA,1,20,Florida,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Minnesota,2017,B10,34,24,0.705882353,109.3,92.9,0.8665,48.7,45.1,16.1,17.6,29.7,30.2,39.6,29.2,47.5,44.5,34.3,30.9,3.7,R64,5,Middle Tennessee,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Minnesota,2019,B10,36,22,0.611111111,110.4,96.3,0.8284,48.2,49.5,17.1,16.9,31.4,28.4,41.6,28.2,48.5,48.7,31.7,34,2.7,R32,10,Louisville,1,10,Michigan St.,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mississippi St.,2019,SEC,34,23,0.676470588,116.9,96.8,0.898,54.6,50.3,19.2,19.5,34.7,29.6,32.7,32.1,53.4,48.4,37.7,35.7,4.5,R64,5,Liberty,0,NA,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA 
Mississippi,2013,SEC,36,27,0.75,110,95.6,0.834,49.1,46.4,15.9,21.5,34.1,31.8,38.8,31.1,49.4,46.2,32.4,31.3,1.6,R32,12,Wisconsin,1,11,La Salle,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mississippi,2015,SEC,34,21,0.617647059,112.2,99.2,0.8037,47.8,47.6,16.5,18.7,34.8,31.4,36.1,41.2,46.8,43.6,33.2,35.8,-0.5,R64,11,Xavier,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mississippi,2019,SEC,33,20,0.606060606,113.3,97.9,0.8433,53.1,51,18.2,20.6,30.2,29.3,30.9,33.5,52.7,48.2,35.8,37.4,0.9,R64,8,Oklahoma,0,NA,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA 
Missouri,2013,SEC,34,23,0.676470588,113.3,95.2,0.8815,51.2,46.1,18.9,17.6,38.7,28.6,35,29.7,51.4,44.1,33.9,33.2,1.2,R64,9,Colorado St.,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Missouri,2018,SEC,32,20,0.625,111,96,0.842,54.1,46.7,20.8,16,30.3,27.9,38.3,30.3,50.3,45.4,39,32.7,0.4,R64,8,Florida St.,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montana,2013,BSky,30,23,0.766666667,101.6,101.8,0.4929,52.9,48.6,19.1,18.3,25.1,30.5,40.6,35.9,52,48,36.4,33.3,-1.4,R64,13,Syracuse,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montana,2018,BSky,32,26,0.8125,106.7,98.4,0.7184,51.2,48.4,17.4,21.2,33.5,26.1,38.3,41.4,51.4,46.3,33.7,35.2,-1.1,R64,14,Michigan,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montana,2019,BSky,33,26,0.787878788,106.2,103.2,0.5812,56.1,50.1,17.3,19.2,27.4,24.9,31.6,37.3,55.6,49.3,37.8,34.4,-3.2,R64,15,Michigan,0,NA,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA 
Mount St. Mary's,2017,NEC,36,20,0.555555556,98.9,101.8,0.4155,51,49.9,19.2,21.7,23.1,34.8,32.4,32.6,49.4,49.5,35.8,34.1,-7.9,R64,16,Villanova,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Murray St.,2018,OVC,30,26,0.866666667,110.6,100.8,0.7449,55,47.2,17.6,18,32.9,27.6,37.3,30.5,54.4,47.6,37.2,30.9,-0.4,R64,12,West Virginia,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Murray St.,2019,OVC,31,28,0.903225806,110.4,98.6,0.7852,54.8,46.5,17.2,19.4,32,30.7,33.5,27.4,56.2,48.3,34.9,28.9,1.2,R32,12,Marquette,1,19,Florida St.,0,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA 
Nebraska,2014,B10,32,19,0.59375,108.2,95,0.8172,48.3,47.6,16.7,19,25.7,29,42.3,44.9,47.4,47.8,33.3,31.5,1.3,R64,11,Baylor,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nevada,2017,MWC,35,28,0.8,113.7,100.7,0.8021,52.5,48.3,15.5,15.9,30.4,26.3,41.3,28.2,49.2,49.3,38.2,31,1.7,R64,12,Iowa St.,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nevada,2018,MWC,37,29,0.783783784,118.9,102.5,0.8462,54.8,49.4,13.5,18,26.7,29.3,36.3,30.1,52.1,50.7,39.2,31.7,2.5,S16,7,Texas,1,4,Cincinnati,1,2,Loyola Chicago,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nevada,2019,MWC,34,29,0.852941176,112.5,95.9,0.8618,53.7,47.7,14.6,19.2,27.2,24.9,40.8,28,54.9,46.3,34.7,33.2,3.8,R64,7,Florida,0,NA,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA 
New Mexico St.,2013,WAC,34,23,0.676470588,102.5,95.3,0.6992,49.3,45.4,21.9,18.6,36.9,29.8,47,30.7,49.8,43.2,31.8,33.9,-3.1,R64,13,Saint Louis,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Mexico St.,2014,WAC,35,25,0.714285714,111.6,102,0.7385,53.2,44.4,18.7,16.1,37.7,33,53.9,34.1,52.9,42.7,36.1,33.2,-2.3,R64,13,San Diego St.,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Mexico St.,2015,WAC,32,21,0.65625,103.9,98.1,0.6613,50.6,46.4,21.8,20.6,39.3,31,44.3,32.5,49.3,46.4,36.2,30.8,-4.5,R64,15,Kansas,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Mexico St.,2017,WAC,31,28,0.903225806,109.4,102.5,0.6783,52.7,47.9,19.5,19.1,35.6,28.5,43.3,35.2,54.2,49.1,33.5,30.3,-0.2,R64,14,Baylor,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Mexico St.,2018,WAC,31,28,0.903225806,106.8,95,0.7927,51.6,46,17.4,19,33.8,22.5,29.1,33,52,45.7,34,31.1,1.3,R64,12,Clemson,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Mexico St.,2019,WAC,33,30,0.909090909,111.8,98.2,0.8155,54.1,48.9,17.8,19.1,37,22.5,34.6,32.5,56.7,48,34,33.5,1.4,R64,12,Auburn,0,NA,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA 
New Mexico,2013,MWC,35,29,0.828571429,107,91.1,0.8641,48.4,45.9,17.6,19.5,29.3,27.6,45.7,25.7,46.1,42,35.1,34.6,6.9,R64,3,Harvard,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Mexico,2014,MWC,34,27,0.794117647,112.8,95.7,0.8693,51.1,45,15.9,14.9,32.5,28.2,46.7,31.3,51.7,41.1,33.2,34.8,4.4,R64,7,Stanford,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Carolina A&T,2013,MEAC,36,19,0.527777778,90.6,95.7,0.3459,45.7,45.2,22.7,23.4,29.8,33.2,42.6,41.1,45.4,43.4,30.7,32,-11.5,R64,16,Louisville,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Carolina Central,2014,MEAC,32,26,0.8125,107.9,100.2,0.7018,50.2,44.4,17.2,23.7,35.4,33.1,49.5,44.8,50.8,43.2,32.5,31,-0.6,R64,14,Iowa St.,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Carolina St.,2013,ACC,35,24,0.685714286,115.2,98,0.865,54.2,46.8,18,16.6,34.7,32.6,40.9,29,52.8,47.5,39.1,30.2,2.2,R64,8,Temple,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Carolina St.,2014,ACC,36,22,0.611111111,114.8,101.4,0.8066,50,47.5,15.8,17.4,34.1,35.6,37,42.6,51.5,47.3,30.5,32.1,0.6,R64,12,Saint Louis,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Carolina St.,2015,ACC,36,22,0.611111111,114.1,96.8,0.8684,49.3,45.5,16,14.9,33.9,30.2,35.3,34.7,47.3,43.6,35.6,33,1.1,S16,8,LSU,1,1,Villanova,1,3,Louisville,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Carolina St.,2018,ACC,33,21,0.636363636,115.6,101.3,0.821,53.4,51.6,16.8,20.4,33.4,32,34.2,33.7,52.1,53.6,37.2,31.6,0.9,R64,9,Seton Hall,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Carolina,2013,ACC,35,24,0.685714286,111.6,93,0.8902,49.3,48,17.2,21.5,34.6,31.6,28.2,27.1,46.3,46.3,37.2,34.4,2.5,R32,8,Villanova,1,7,Kansas,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Carolina,2014,ACC,34,24,0.705882353,113.4,94.7,0.8883,49.9,47,16.9,19.3,38.1,31.3,42.9,41.4,49.7,46.7,33.6,31.7,4.2,R32,6,Providence,1,2,Iowa St.,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Carolina,2015,ACC,38,26,0.684210526,119.6,92.5,0.9507,51.6,45.4,18.2,17.7,40,31.2,35.2,37.8,50.9,45.6,35.8,30,6.5,S16,4,Harvard,1,2,Arkansas,1,9,Wisconsin,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Carolina,2016,ACC,40,33,0.825,123.3,94.9,0.9531,52.6,48.1,15.4,18.2,40.7,30,32.3,30.4,53.9,44.6,32.7,36.2,8.6,2ND,1,FGCU,1,16,Providence,1,19,Indiana,1,15,Notre Dame,1,14,Syracuse,1,17,Villanova,0
North Carolina,2017,ACC,39,33,0.846153846,121,91.5,0.9615,51.7,48.1,16.2,18.6,41.3,25,34.3,31.6,51,46.3,35.5,33.9,8.4,Champions,1,Texas Southern,1,39,Arkansas,1,7,Butler,1,12,Kentucky,1,2,Oregon,1,1,Gonzaga,1
North Carolina,2018,ACC,37,26,0.702702703,120.7,97.1,0.9242,52,50.1,16.7,16.3,37.4,25.5,28,26,51,45.3,35.9,38,7.1,R32,2,Lipscomb,1,18,Texas A&M,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Carolina,2019,ACC,36,29,0.805555556,120.1,91.4,0.9582,52.9,48.9,17.2,18.3,35.3,22.8,30.2,28.4,52.1,47.9,36.2,33.5,10,S16,1,Iona,1,15,Washington,1,22,Auburn,0,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA 
North Dakota St.,2014,Sum,30,23,0.766666667,113.9,103,0.7613,54.5,49.8,15.6,17.1,30.6,27.9,41.6,40.2,55.4,46.1,34.7,37.8,0.2,R32,12,Oklahoma,1,5,San Diego St.,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Dakota St.,2015,Sum,31,21,0.677419355,100.8,100.7,0.5035,49.7,48.1,16,16.5,26.1,23.7,35.7,30.7,45.5,45,38.2,36.2,-3.9,R64,15,Gonzaga,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Dakota St.,2019,Sum,33,19,0.575757576,106.6,109,0.4369,53.5,53.6,15.7,14.4,20.7,25.9,32.2,26.5,52.1,52.6,36.7,37,-8.6,R64,16,Duke,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Dakota,2017,BSky,29,22,0.75862069,103.1,102.7,0.5112,53.4,50.7,18.3,19.6,26,27.8,36.1,39.7,51.4,50,38.7,34.8,-5.3,R64,15,Arizona,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northeastern,2015,CAA,35,23,0.657142857,107,101,0.6586,54.5,49.8,21.5,15.5,30.1,25.3,41.4,25,53,49.1,38.6,34.4,-4.6,R64,14,Notre Dame,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northeastern,2019,CAA,34,23,0.676470588,109.1,102.5,0.6712,56.5,52.1,16.6,16.7,22.7,24.6,34.3,27.8,55.8,53,38.2,33.7,-2.8,R64,13,Kansas,0,NA,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA 
Northern Iowa,2015,MVC,35,31,0.885714286,115.4,93,0.9228,55.9,45.6,17.8,19.2,27,26.9,39.8,27,53.3,44,39.8,32.1,5.3,R32,5,Wyoming,1,17,Louisville,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northern Iowa,2016,MVC,35,22,0.628571429,109.7,96.7,0.8109,53.2,48.7,15.2,18.5,17.7,27.4,34.1,24.8,51.3,48.9,37.2,32.4,-2.1,R32,11,Texas,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northern Kentucky,2017,Horz,33,24,0.727272727,105.5,104.1,0.537,52.4,49.7,18.8,17,31.2,26.4,36.5,30.5,51.6,50.2,35.7,32.4,-4.9,R64,15,Kentucky,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northern Kentucky,2019,Horz,33,26,0.787878788,107.8,101.3,0.6719,54.6,49.1,17.8,18.4,30.6,26,34.8,35.2,55,49.9,36,32,-2.2,R64,14,Texas Tech,0,NA,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA 
Northwestern St.,2013,Slnd,28,19,0.678571429,104.8,102.1,0.573,49,47.8,19.2,21.7,34.8,37.3,40.3,40.5,50,46.8,31,33.9,-3.2,R64,14,Florida,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern,2017,B10,36,24,0.666666667,111.2,95.2,0.8564,49.7,46.1,16,17.9,30.8,30.6,30.5,36.1,48.8,44,34.2,33.3,2,R32,8,Vanderbilt,1,2,Vanderbilt,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
